name,version,type,purl,license
@esbuild/netbsd-x64,0.27.7,library,pkg:npm/%40esbuild/netbsd-x64@0.27.7,MIT
@esbuild/openbsd-arm64,0.27.7,library,pkg:npm/%40esbuild/openbsd-arm64@0.27.7,MIT
@esbuild/openbsd-x64,0.27.7,library,pkg:npm/%40esbuild/openbsd-x64@0.27.7,MIT
@esbuild/openharmony-arm64,0.27.7,library,pkg:npm/%40esbuild/openharmony-arm64@0.27.7,MIT
@esbuild/sunos-x64,0.27.7,library,pkg:npm/%40esbuild/sunos-x64@0.27.7,MIT
@esbuild/win32-arm64,0.27.7,library,pkg:npm/%40esbuild/win32-arm64@0.27.7,MIT
@esbuild/win32-ia32,0.27.7,library,pkg:npm/%40esbuild/win32-ia32@0.27.7,MIT
@esbuild/win32-x64,0.27.7,library,pkg:npm/%40esbuild/win32-x64@0.27.7,MIT
into-stream,9.1.0,library,pkg:npm/into-stream@9.1.0,MIT
multistream,4.1.0,library,pkg:npm/multistream@4.1.0,MIT
readable-stream,3.6.2,library,pkg:npm/readable-stream@3.6.2,MIT
string_decoder,1.1.1,library,pkg:npm/string_decoder@1.1.1,MIT
safe-buffer,5.1.2,library,pkg:npm/safe-buffer@5.1.2,MIT
util-deprecate,1.0.2,library,pkg:npm/util-deprecate@1.0.2,MIT
picomatch,4.0.4,library,pkg:npm/picomatch@4.0.4,MIT
postject,1.0.0-alpha.6,library,pkg:npm/postject@1.0.0-alpha.6,MIT
commander,9.5.0,library,pkg:npm/commander@9.5.0,MIT
prebuild-install,7.1.1,library,pkg:npm/prebuild-install@7.1.1,MIT
detect-libc,2.1.2,library,pkg:npm/detect-libc@2.1.2,Apache-2.0
expand-template,2.0.3,library,pkg:npm/expand-template@2.0.3,(MIT OR WTFPL)
github-from-package,0.0.0,library,pkg:npm/github-from-package@0.0.0,MIT
minimist,1.2.8,library,pkg:npm/minimist@1.2.8,MIT
mkdirp-classic,0.5.3,library,pkg:npm/mkdirp-classic@0.5.3,MIT
napi-build-utils,1.0.2,library,pkg:npm/napi-build-utils@1.0.2,MIT
node-abi,3.85.0,library,pkg:npm/node-abi@3.85.0,MIT
rc,1.2.8,library,pkg:npm/rc@1.2.8,(BSD-2-Clause OR MIT OR Apache-2.0)
deep-extend,0.6.0,library,pkg:npm/deep-extend@0.6.0,MIT
ini,1.3.8,library,pkg:npm/ini@1.3.8,ISC
strip-json-comments,2.0.1,library,pkg:npm/strip-json-comments@2.0.1,MIT
simple-get,4.0.1,library,pkg:npm/simple-get@4.0.1,MIT
decompress-response,6.0.0,library,pkg:npm/decompress-response@6.0.0,MIT
mimic-response,3.1.0,library,pkg:npm/mimic-response@3.1.0,MIT
simple-concat,1.0.1,library,pkg:npm/simple-concat@1.0.1,MIT
tar-fs,2.1.4,library,pkg:npm/tar-fs@2.1.4,MIT
chownr,1.1.4,library,pkg:npm/chownr@1.1.4,ISC
tar-stream,2.2.0,library,pkg:npm/tar-stream@2.2.0,MIT
bl,4.1.0,library,pkg:npm/bl@4.1.0,MIT
buffer,5.7.1,library,pkg:npm/buffer@5.7.1,MIT
base64-js,1.5.1,library,pkg:npm/base64-js@1.5.1,MIT
ieee754,1.2.1,library,pkg:npm/ieee754@1.2.1,BSD-3-Clause
fs-constants,1.0.0,library,pkg:npm/fs-constants@1.0.0,MIT
tunnel-agent,0.6.0,library,pkg:npm/tunnel-agent@0.6.0,Apache-2.0
resolve,1.22.11,library,pkg:npm/resolve@1.22.11,MIT
is-core-module,2.16.1,library,pkg:npm/is-core-module@2.16.1,MIT
hasown,2.0.2,library,pkg:npm/hasown@2.0.2,MIT
function-bind,1.1.2,library,pkg:npm/function-bind@1.1.2,MIT
path-parse,1.0.7,library,pkg:npm/path-parse@1.0.7,MIT
supports-preserve-symlinks-flag,1.0.0,library,pkg:npm/supports-preserve-symlinks-flag@1.0.0,MIT
resolve.exports,2.0.3,library,pkg:npm/resolve.exports@2.0.3,MIT
stream-meter,1.0.4,library,pkg:npm/stream-meter@1.0.4,MIT
readable-stream,2.3.8,library,pkg:npm/readable-stream@2.3.8,MIT
core-util-is,1.0.3,library,pkg:npm/core-util-is@1.0.3,MIT
isarray,1.0.0,library,pkg:npm/isarray@1.0.0,MIT
process-nextick-args,2.0.1,library,pkg:npm/process-nextick-args@2.0.1,MIT
tar,7.5.15,library,pkg:npm/tar@7.5.15,BlueOak-1.0.0
@isaacs/fs-minipass,4.0.1,library,pkg:npm/%40isaacs/fs-minipass@4.0.1,ISC
minipass,7.1.3,library,pkg:npm/minipass@7.1.3,BlueOak-1.0.0
chownr,3.0.0,library,pkg:npm/chownr@3.0.0,BlueOak-1.0.0
minizlib,3.1.0,library,pkg:npm/minizlib@3.1.0,MIT
yallist,5.0.0,library,pkg:npm/yallist@5.0.0,BlueOak-1.0.0
tinyglobby,0.2.17,library,pkg:npm/tinyglobby@0.2.17,MIT
fdir,6.5.0,library,pkg:npm/fdir@6.5.0,MIT
unzipper,0.12.3,library,pkg:npm/unzipper@0.12.3,MIT
bluebird,3.7.2,library,pkg:npm/bluebird@3.7.2,MIT
duplexer2,0.1.4,library,pkg:npm/duplexer2@0.1.4,BSD-3-Clause
fs-extra,11.3.5,library,pkg:npm/fs-extra@11.3.5,MIT
graceful-fs,4.2.11,library,pkg:npm/graceful-fs@4.2.11,ISC
jsonfile,6.2.0,library,pkg:npm/jsonfile@6.2.0,MIT
universalify,2.0.1,library,pkg:npm/universalify@2.0.1,MIT
node-int64,0.4.0,library,pkg:npm/node-int64@0.4.0,MIT
husky,9.1.7,library,pkg:npm/husky@9.1.7,MIT
lint-staged,15.5.2,library,pkg:npm/lint-staged@15.5.2,MIT
chalk,5.6.2,library,pkg:npm/chalk@5.6.2,MIT
commander,13.1.0,library,pkg:npm/commander@13.1.0,MIT
lilconfig,3.1.3,library,pkg:npm/lilconfig@3.1.3,MIT
listr2,8.3.3,library,pkg:npm/listr2@8.3.3,MIT
cli-truncate,4.0.0,library,pkg:npm/cli-truncate@4.0.0,MIT
slice-ansi,5.0.0,library,pkg:npm/slice-ansi@5.0.0,MIT
ansi-styles,6.2.3,library,pkg:npm/ansi-styles@6.2.3,MIT
is-fullwidth-code-point,4.0.0,library,pkg:npm/is-fullwidth-code-point@4.0.0,MIT
string-width,7.2.0,library,pkg:npm/string-width@7.2.0,MIT
emoji-regex,10.6.0,library,pkg:npm/emoji-regex@10.6.0,MIT
get-east-asian-width,1.4.0,library,pkg:npm/get-east-asian-width@1.4.0,MIT
strip-ansi,7.1.2,library,pkg:npm/strip-ansi@7.1.2,MIT
ansi-regex,6.2.2,library,pkg:npm/ansi-regex@6.2.2,MIT
colorette,2.0.20,library,pkg:npm/colorette@2.0.20,MIT
eventemitter3,5.0.4,library,pkg:npm/eventemitter3@5.0.4,MIT
log-update,6.1.0,library,pkg:npm/log-update@6.1.0,MIT
ansi-escapes,7.3.0,library,pkg:npm/ansi-escapes@7.3.0,MIT
environment,1.1.0,library,pkg:npm/environment@1.1.0,MIT
cli-cursor,5.0.0,library,pkg:npm/cli-cursor@5.0.0,MIT
restore-cursor,5.1.0,library,pkg:npm/restore-cursor@5.1.0,MIT
onetime,7.0.0,library,pkg:npm/onetime@7.0.0,MIT
mimic-function,5.0.1,library,pkg:npm/mimic-function@5.0.1,MIT
slice-ansi,7.1.2,library,pkg:npm/slice-ansi@7.1.2,MIT
is-fullwidth-code-point,5.1.0,library,pkg:npm/is-fullwidth-code-point@5.1.0,MIT
wrap-ansi,9.0.2,library,pkg:npm/wrap-ansi@9.0.2,MIT
rfdc,1.4.1,library,pkg:npm/rfdc@1.4.1,MIT
pidtree,0.6.0,library,pkg:npm/pidtree@0.6.0,MIT
string-argv,0.3.2,library,pkg:npm/string-argv@0.3.2,MIT
yaml,2.8.2,library,pkg:npm/yaml@2.8.2,ISC
prettier,3.7.4,library,pkg:npm/prettier@3.7.4,MIT
@types/vscode,1.109.0,library,pkg:npm/%40types/vscode@1.109.0,MIT
@vscode/vsce,3.7.1,library,pkg:npm/%40vscode/vsce@3.7.1,MIT
@azure/identity,4.13.0,library,pkg:npm/%40azure/identity@4.13.0,MIT
@azure/abort-controller,2.1.2,library,pkg:npm/%40azure/abort-controller@2.1.2,MIT
tslib,2.8.1,library,pkg:npm/tslib@2.8.1,0BSD
@azure/core-auth,1.10.1,library,pkg:npm/%40azure/core-auth@1.10.1,MIT
@azure/core-util,1.13.1,library,pkg:npm/%40azure/core-util@1.13.1,MIT
@typespec/ts-http-runtime,0.3.4,library,pkg:npm/%40typespec/ts-http-runtime@0.3.4,MIT
http-proxy-agent,7.0.2,library,pkg:npm/http-proxy-agent@7.0.2,MIT
agent-base,7.1.4,library,pkg:npm/agent-base@7.1.4,MIT
https-proxy-agent,7.0.6,library,pkg:npm/https-proxy-agent@7.0.6,MIT
@azure/core-client,1.10.1,library,pkg:npm/%40azure/core-client@1.10.1,MIT
@azure/core-rest-pipeline,1.23.0,library,pkg:npm/%40azure/core-rest-pipeline@1.23.0,MIT
@azure/core-tracing,1.3.1,library,pkg:npm/%40azure/core-tracing@1.3.1,MIT
@azure/logger,1.3.0,library,pkg:npm/%40azure/logger@1.3.0,MIT
@azure/msal-browser,4.29.1,library,pkg:npm/%40azure/msal-browser@4.29.1,MIT
@azure/msal-common,15.16.1,library,pkg:npm/%40azure/msal-common@15.16.1,MIT
@azure/msal-node,3.8.9,library,pkg:npm/%40azure/msal-node@3.8.9,MIT
jsonwebtoken,9.0.3,library,pkg:npm/jsonwebtoken@9.0.3,MIT
jws,4.0.1,library,pkg:npm/jws@4.0.1,MIT
jwa,2.0.1,library,pkg:npm/jwa@2.0.1,MIT
buffer-equal-constant-time,1.0.1,library,pkg:npm/buffer-equal-constant-time@1.0.1,BSD-3-Clause
ecdsa-sig-formatter,1.0.11,library,pkg:npm/ecdsa-sig-formatter@1.0.11,Apache-2.0
safe-buffer,5.2.1,library,pkg:npm/safe-buffer@5.2.1,MIT
lodash.includes,4.3.0,library,pkg:npm/lodash.includes@4.3.0,MIT
lodash.isboolean,3.0.3,library,pkg:npm/lodash.isboolean@3.0.3,MIT
lodash.isinteger,4.0.4,library,pkg:npm/lodash.isinteger@4.0.4,MIT
lodash.isnumber,3.0.3,library,pkg:npm/lodash.isnumber@3.0.3,MIT
lodash.isplainobject,4.0.6,library,pkg:npm/lodash.isplainobject@4.0.6,MIT
lodash.isstring,4.0.1,library,pkg:npm/lodash.isstring@4.0.1,MIT
lodash.once,4.1.1,library,pkg:npm/lodash.once@4.1.1,MIT
semver,7.7.4,library,pkg:npm/semver@7.7.4,ISC
uuid,8.3.2,library,pkg:npm/uuid@8.3.2,MIT
open,10.2.0,library,pkg:npm/open@10.2.0,MIT
default-browser,5.5.0,library,pkg:npm/default-browser@5.5.0,MIT
bundle-name,4.1.0,library,pkg:npm/bundle-name@4.1.0,MIT
run-applescript,7.1.0,library,pkg:npm/run-applescript@7.1.0,MIT
default-browser-id,5.0.1,library,pkg:npm/default-browser-id@5.0.1,MIT
define-lazy-prop,3.0.0,library,pkg:npm/define-lazy-prop@3.0.0,MIT
is-inside-container,1.0.0,library,pkg:npm/is-inside-container@1.0.0,MIT
is-docker,3.0.0,library,pkg:npm/is-docker@3.0.0,MIT
wsl-utils,0.1.0,library,pkg:npm/wsl-utils@0.1.0,MIT
is-wsl,3.1.1,library,pkg:npm/is-wsl@3.1.1,MIT
@secretlint/node,10.2.2,library,pkg:npm/%40secretlint/node@10.2.2,MIT
@secretlint/config-loader,10.2.2,library,pkg:npm/%40secretlint/config-loader@10.2.2,MIT
@secretlint/profiler,10.2.2,library,pkg:npm/%40secretlint/profiler@10.2.2,MIT
@secretlint/resolver,10.2.2,library,pkg:npm/%40secretlint/resolver@10.2.2,MIT
@secretlint/types,10.2.2,library,pkg:npm/%40secretlint/types@10.2.2,MIT
ajv,8.18.0,library,pkg:npm/ajv@8.18.0,MIT
fast-uri,3.1.0,library,pkg:npm/fast-uri@3.1.0,BSD-3-Clause
json-schema-traverse,1.0.0,library,pkg:npm/json-schema-traverse@1.0.0,MIT
require-from-string,2.0.2,library,pkg:npm/require-from-string@2.0.2,MIT
rc-config-loader,4.1.4,library,pkg:npm/rc-config-loader@4.1.4,MIT
json5,2.2.3,library,pkg:npm/json5@2.2.3,MIT
@secretlint/core,10.2.2,library,pkg:npm/%40secretlint/core@10.2.2,MIT
structured-source,4.0.0,library,pkg:npm/structured-source@4.0.0,BSD-2-Clause
boundary,2.0.0,library,pkg:npm/boundary@2.0.0,BSD-2-Clause
@secretlint/formatter,10.2.2,library,pkg:npm/%40secretlint/formatter@10.2.2,MIT
@textlint/linter-formatter,15.5.2,library,pkg:npm/%40textlint/linter-formatter@15.5.2,MIT
@azu/format-text,1.0.2,library,pkg:npm/%40azu/format-text@1.0.2,BSD-3-Clause
@azu/style-format,1.0.1,library,pkg:npm/%40azu/style-format@1.0.1,WTFPL
@textlint/module-interop,15.5.2,library,pkg:npm/%40textlint/module-interop@15.5.2,MIT
@textlint/resolver,15.5.2,library,pkg:npm/%40textlint/resolver@15.5.2,MIT
@textlint/types,15.5.2,library,pkg:npm/%40textlint/types@15.5.2,MIT
@textlint/ast-node-types,15.5.2,library,pkg:npm/%40textlint/ast-node-types@15.5.2,MIT
lodash,4.17.23,library,pkg:npm/lodash@4.17.23,MIT
pluralize,2.0.0,library,pkg:npm/pluralize@2.0.0,MIT
table,6.9.0,library,pkg:npm/table@6.9.0,BSD-3-Clause
lodash.truncate,4.4.2,library,pkg:npm/lodash.truncate@4.4.2,MIT
slice-ansi,4.0.0,library,pkg:npm/slice-ansi@4.0.0,MIT
astral-regex,2.0.0,library,pkg:npm/astral-regex@2.0.0,MIT
pluralize,8.0.0,library,pkg:npm/pluralize@8.0.0,MIT
strip-ansi,7.2.0,library,pkg:npm/strip-ansi@7.2.0,MIT
terminal-link,4.0.0,library,pkg:npm/terminal-link@4.0.0,MIT
supports-hyperlinks,3.2.0,library,pkg:npm/supports-hyperlinks@3.2.0,MIT
@secretlint/source-creator,10.2.2,library,pkg:npm/%40secretlint/source-creator@10.2.2,MIT
istextorbinary,9.5.0,library,pkg:npm/istextorbinary@9.5.0,Artistic-2.0
binaryextensions,6.11.0,library,pkg:npm/binaryextensions@6.11.0,Artistic-2.0
editions,6.22.0,library,pkg:npm/editions@6.22.0,Artistic-2.0
version-range,4.15.0,library,pkg:npm/version-range@4.15.0,Artistic-2.0
textextensions,6.11.0,library,pkg:npm/textextensions@6.11.0,Artistic-2.0
p-map,7.0.4,library,pkg:npm/p-map@7.0.4,MIT
@secretlint/secretlint-formatter-sarif,10.2.2,library,pkg:npm/%40secretlint/secretlint-formatter-sarif@10.2.2,MIT
node-sarif-builder,3.4.0,library,pkg:npm/node-sarif-builder@3.4.0,MIT
@types/sarif,2.1.7,library,pkg:npm/%40types/sarif@2.1.7,MIT
fs-extra,11.3.4,library,pkg:npm/fs-extra@11.3.4,MIT
@secretlint/secretlint-rule-no-dotenv,10.2.2,library,pkg:npm/%40secretlint/secretlint-rule-no-dotenv@10.2.2,MIT
@secretlint/secretlint-rule-preset-recommend,10.2.2,library,pkg:npm/%40secretlint/secretlint-rule-preset-recommend@10.2.2,MIT
@vscode/vsce-sign,2.0.9,library,pkg:npm/%40vscode/vsce-sign@2.0.9,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-alpine-arm64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-alpine-arm64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-alpine-x64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-alpine-x64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-darwin-arm64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-darwin-arm64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-darwin-x64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-darwin-x64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-linux-arm,2.0.6,library,pkg:npm/%40vscode/vsce-sign-linux-arm@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-linux-arm64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-linux-arm64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-linux-x64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-linux-x64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-win32-arm64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-win32-arm64@2.0.6,SEE LICENSE IN LICENSE.txt
@vscode/vsce-sign-win32-x64,2.0.6,library,pkg:npm/%40vscode/vsce-sign-win32-x64@2.0.6,SEE LICENSE IN LICENSE.txt
azure-devops-node-api,12.5.0,library,pkg:npm/azure-devops-node-api@12.5.0,MIT
tunnel,0.0.6,library,pkg:npm/tunnel@0.0.6,MIT
typed-rest-client,1.8.11,library,pkg:npm/typed-rest-client@1.8.11,MIT
qs,6.15.0,library,pkg:npm/qs@6.15.0,BSD-3-Clause
side-channel,1.1.0,library,pkg:npm/side-channel@1.1.0,MIT
es-errors,1.3.0,library,pkg:npm/es-errors@1.3.0,MIT
object-inspect,1.13.4,library,pkg:npm/object-inspect@1.13.4,MIT
side-channel-list,1.0.0,library,pkg:npm/side-channel-list@1.0.0,MIT
side-channel-map,1.0.1,library,pkg:npm/side-channel-map@1.0.1,MIT
call-bound,1.0.4,library,pkg:npm/call-bound@1.0.4,MIT
call-bind-apply-helpers,1.0.2,library,pkg:npm/call-bind-apply-helpers@1.0.2,MIT
get-intrinsic,1.3.0,library,pkg:npm/get-intrinsic@1.3.0,MIT
es-define-property,1.0.1,library,pkg:npm/es-define-property@1.0.1,MIT
es-object-atoms,1.1.1,library,pkg:npm/es-object-atoms@1.1.1,MIT
get-proto,1.0.1,library,pkg:npm/get-proto@1.0.1,MIT
dunder-proto,1.0.1,library,pkg:npm/dunder-proto@1.0.1,MIT
gopd,1.2.0,library,pkg:npm/gopd@1.2.0,MIT
has-symbols,1.1.0,library,pkg:npm/has-symbols@1.1.0,MIT
math-intrinsics,1.1.0,library,pkg:npm/math-intrinsics@1.1.0,MIT
side-channel-weakmap,1.0.2,library,pkg:npm/side-channel-weakmap@1.0.2,MIT
underscore,1.13.8,library,pkg:npm/underscore@1.13.8,MIT
cheerio,1.2.0,library,pkg:npm/cheerio@1.2.0,MIT
cheerio-select,2.1.0,library,pkg:npm/cheerio-select@2.1.0,BSD-2-Clause
boolbase,1.0.0,library,pkg:npm/boolbase@1.0.0,ISC
css-select,5.2.2,library,pkg:npm/css-select@5.2.2,BSD-2-Clause
css-what,6.2.2,library,pkg:npm/css-what@6.2.2,BSD-2-Clause
domhandler,5.0.3,library,pkg:npm/domhandler@5.0.3,BSD-2-Clause
domelementtype,2.3.0,library,pkg:npm/domelementtype@2.3.0,BSD-2-Clause
domutils,3.2.2,library,pkg:npm/domutils@3.2.2,BSD-2-Clause
dom-serializer,2.0.0,library,pkg:npm/dom-serializer@2.0.0,MIT
entities,4.5.0,library,pkg:npm/entities@4.5.0,BSD-2-Clause
nth-check,2.1.1,library,pkg:npm/nth-check@2.1.1,BSD-2-Clause
encoding-sniffer,0.2.1,library,pkg:npm/encoding-sniffer@0.2.1,MIT
iconv-lite,0.6.3,library,pkg:npm/iconv-lite@0.6.3,MIT
safer-buffer,2.1.2,library,pkg:npm/safer-buffer@2.1.2,MIT
whatwg-encoding,3.1.1,library,pkg:npm/whatwg-encoding@3.1.1,MIT
htmlparser2,10.1.0,library,pkg:npm/htmlparser2@10.1.0,MIT
entities,7.0.1,library,pkg:npm/entities@7.0.1,BSD-2-Clause
parse5,7.3.0,library,pkg:npm/parse5@7.3.0,MIT
entities,6.0.1,library,pkg:npm/entities@6.0.1,BSD-2-Clause
parse5-htmlparser2-tree-adapter,7.1.0,library,pkg:npm/parse5-htmlparser2-tree-adapter@7.1.0,MIT
parse5-parser-stream,7.1.2,library,pkg:npm/parse5-parser-stream@7.1.2,MIT
undici,7.24.4,library,pkg:npm/undici@7.24.4,MIT
whatwg-mimetype,4.0.0,library,pkg:npm/whatwg-mimetype@4.0.0,MIT
cockatiel,3.2.1,library,pkg:npm/cockatiel@3.2.1,MIT
commander,12.1.0,library,pkg:npm/commander@12.1.0,MIT
form-data,4.0.5,library,pkg:npm/form-data@4.0.5,MIT
asynckit,0.4.0,library,pkg:npm/asynckit@0.4.0,MIT
combined-stream,1.0.8,library,pkg:npm/combined-stream@1.0.8,MIT
delayed-stream,1.0.0,library,pkg:npm/delayed-stream@1.0.0,MIT
es-set-tostringtag,2.1.0,library,pkg:npm/es-set-tostringtag@2.1.0,MIT
has-tostringtag,1.0.2,library,pkg:npm/has-tostringtag@1.0.2,MIT
mime-types,2.1.35,library,pkg:npm/mime-types@2.1.35,MIT
mime-db,1.52.0,library,pkg:npm/mime-db@1.52.0,MIT
glob,11.1.0,library,pkg:npm/glob@11.1.0,BlueOak-1.0.0
foreground-child,3.3.1,library,pkg:npm/foreground-child@3.3.1,ISC
jackspeak,4.2.3,library,pkg:npm/jackspeak@4.2.3,BlueOak-1.0.0
@isaacs/cliui,9.0.0,library,pkg:npm/%40isaacs/cliui@9.0.0,BlueOak-1.0.0
minimatch,10.2.4,library,pkg:npm/minimatch@10.2.4,BlueOak-1.0.0
brace-expansion,5.0.4,library,pkg:npm/brace-expansion@5.0.4,MIT
balanced-match,4.0.4,library,pkg:npm/balanced-match@4.0.4,MIT
package-json-from-dist,1.0.1,library,pkg:npm/package-json-from-dist@1.0.1,BlueOak-1.0.0
path-scurry,2.0.2,library,pkg:npm/path-scurry@2.0.2,BlueOak-1.0.0
lru-cache,11.2.7,library,pkg:npm/lru-cache@11.2.7,BlueOak-1.0.0
hosted-git-info,4.1.0,library,pkg:npm/hosted-git-info@4.1.0,ISC
lru-cache,6.0.0,library,pkg:npm/lru-cache@6.0.0,ISC
yallist,4.0.0,library,pkg:npm/yallist@4.0.0,ISC
jsonc-parser,3.3.1,library,pkg:npm/jsonc-parser@3.3.1,MIT
leven,3.1.0,library,pkg:npm/leven@3.1.0,MIT
markdown-it,14.1.1,library,pkg:npm/markdown-it@14.1.1,MIT
linkify-it,5.0.0,library,pkg:npm/linkify-it@5.0.0,MIT
uc.micro,2.1.0,library,pkg:npm/uc.micro@2.1.0,MIT
mdurl,2.0.0,library,pkg:npm/mdurl@2.0.0,MIT
punycode.js,2.3.1,library,pkg:npm/punycode.js@2.3.1,MIT
mime,1.6.0,library,pkg:npm/mime@1.6.0,MIT
minimatch,3.1.5,library,pkg:npm/minimatch@3.1.5,ISC
parse-semver,1.1.1,library,pkg:npm/parse-semver@1.1.1,MIT
semver,5.7.2,library,pkg:npm/semver@5.7.2,ISC
read,1.0.7,library,pkg:npm/read@1.0.7,ISC
mute-stream,0.0.8,library,pkg:npm/mute-stream@0.0.8,ISC
secretlint,10.2.2,library,pkg:npm/secretlint@10.2.2,MIT
@secretlint/config-creator,10.2.2,library,pkg:npm/%40secretlint/config-creator@10.2.2,MIT
globby,14.1.0,library,pkg:npm/globby@14.1.0,MIT
@sindresorhus/merge-streams,2.3.0,library,pkg:npm/%40sindresorhus/merge-streams@2.3.0,MIT
fastq,1.20.1,library,pkg:npm/fastq@1.20.1,ISC
ignore,7.0.5,library,pkg:npm/ignore@7.0.5,MIT
path-type,6.0.0,library,pkg:npm/path-type@6.0.0,MIT
slash,5.1.0,library,pkg:npm/slash@5.1.0,MIT
unicorn-magic,0.3.0,library,pkg:npm/unicorn-magic@0.3.0,MIT
read-pkg,9.0.1,library,pkg:npm/read-pkg@9.0.1,MIT
@types/normalize-package-data,2.4.4,library,pkg:npm/%40types/normalize-package-data@2.4.4,MIT
normalize-package-data,6.0.2,library,pkg:npm/normalize-package-data@6.0.2,BSD-2-Clause
hosted-git-info,7.0.2,library,pkg:npm/hosted-git-info@7.0.2,ISC
lru-cache,10.4.3,library,pkg:npm/lru-cache@10.4.3,ISC
validate-npm-package-license,3.0.4,library,pkg:npm/validate-npm-package-license@3.0.4,Apache-2.0
spdx-correct,3.2.0,library,pkg:npm/spdx-correct@3.2.0,Apache-2.0
spdx-expression-parse,3.0.1,library,pkg:npm/spdx-expression-parse@3.0.1,MIT
spdx-exceptions,2.5.0,library,pkg:npm/spdx-exceptions@2.5.0,CC-BY-3.0
spdx-license-ids,3.0.23,library,pkg:npm/spdx-license-ids@3.0.23,CC0-1.0
parse-json,8.3.0,library,pkg:npm/parse-json@8.3.0,MIT
@babel/code-frame,7.29.0,library,pkg:npm/%40babel/code-frame@7.29.0,MIT
@babel/helper-validator-identifier,7.28.5,library,pkg:npm/%40babel/helper-validator-identifier@7.28.5,MIT
index-to-position,1.2.0,library,pkg:npm/index-to-position@1.2.0,MIT
type-fest,4.41.0,library,pkg:npm/type-fest@4.41.0,(MIT OR CC0-1.0)
unicorn-magic,0.1.0,library,pkg:npm/unicorn-magic@0.1.0,MIT
tmp,0.2.5,library,pkg:npm/tmp@0.2.5,MIT
url-join,4.0.1,library,pkg:npm/url-join@4.0.1,MIT
xml2js,0.5.0,library,pkg:npm/xml2js@0.5.0,MIT
sax,1.6.0,framework,pkg:npm/sax@1.6.0,BlueOak-1.0.0
xmlbuilder,11.0.1,library,pkg:npm/xmlbuilder@11.0.1,MIT
yauzl,2.10.0,library,pkg:npm/yauzl@2.10.0,MIT
buffer-crc32,0.2.13,library,pkg:npm/buffer-crc32@0.2.13,MIT
fd-slicer,1.1.0,library,pkg:npm/fd-slicer@1.1.0,MIT
pend,1.2.0,library,pkg:npm/pend@1.2.0,MIT
yazl,2.5.1,library,pkg:npm/yazl@2.5.1,MIT
keytar,7.9.0,library,pkg:npm/keytar@7.9.0,MIT
node-addon-api,4.3.0,library,pkg:npm/node-addon-api@4.3.0,MIT
prebuild-install,7.1.3,library,pkg:npm/prebuild-install@7.1.3,MIT
napi-build-utils,2.0.0,library,pkg:npm/napi-build-utils@2.0.0,MIT
node-abi,3.89.0,library,pkg:npm/node-abi@3.89.0,MIT
pump,3.0.4,library,pkg:npm/pump@3.0.4,MIT
string_decoder,1.3.0,library,pkg:npm/string_decoder@1.3.0,MIT
esbuild,0.24.2,library,pkg:npm/esbuild@0.24.2,MIT
@esbuild/aix-ppc64,0.24.2,library,pkg:npm/%40esbuild/aix-ppc64@0.24.2,MIT
@esbuild/android-arm,0.24.2,library,pkg:npm/%40esbuild/android-arm@0.24.2,MIT
@esbuild/android-arm64,0.24.2,library,pkg:npm/%40esbuild/android-arm64@0.24.2,MIT
@esbuild/android-x64,0.24.2,library,pkg:npm/%40esbuild/android-x64@0.24.2,MIT
@esbuild/darwin-arm64,0.24.2,library,pkg:npm/%40esbuild/darwin-arm64@0.24.2,MIT
@esbuild/darwin-x64,0.24.2,library,pkg:npm/%40esbuild/darwin-x64@0.24.2,MIT
@esbuild/freebsd-arm64,0.24.2,library,pkg:npm/%40esbuild/freebsd-arm64@0.24.2,MIT
@esbuild/freebsd-x64,0.24.2,library,pkg:npm/%40esbuild/freebsd-x64@0.24.2,MIT
@esbuild/linux-arm,0.24.2,library,pkg:npm/%40esbuild/linux-arm@0.24.2,MIT
@esbuild/linux-arm64,0.24.2,library,pkg:npm/%40esbuild/linux-arm64@0.24.2,MIT
@esbuild/linux-ia32,0.24.2,library,pkg:npm/%40esbuild/linux-ia32@0.24.2,MIT
@esbuild/linux-loong64,0.24.2,library,pkg:npm/%40esbuild/linux-loong64@0.24.2,MIT
@esbuild/linux-mips64el,0.24.2,library,pkg:npm/%40esbuild/linux-mips64el@0.24.2,MIT
@esbuild/linux-ppc64,0.24.2,library,pkg:npm/%40esbuild/linux-ppc64@0.24.2,MIT
