name,version,type,purl,license
glob,7.2.3,library,pkg:npm/glob@7.2.3,ISC
fs.realpath,1.0.0,library,pkg:npm/fs.realpath@1.0.0,ISC
inflight,1.0.6,library,pkg:npm/inflight@1.0.6,ISC
once,1.4.0,library,pkg:npm/once@1.4.0,ISC
wrappy,1.0.2,library,pkg:npm/wrappy@1.0.2,ISC
inherits,2.0.4,library,pkg:npm/inherits@2.0.4,ISC
path-is-absolute,1.0.1,library,pkg:npm/path-is-absolute@1.0.1,MIT
find-up,5.0.0,library,pkg:npm/find-up@5.0.0,MIT
locate-path,6.0.0,library,pkg:npm/locate-path@6.0.0,MIT
p-locate,5.0.0,library,pkg:npm/p-locate@5.0.0,MIT
p-limit,3.1.0,library,pkg:npm/p-limit@3.1.0,MIT
yocto-queue,0.1.0,library,pkg:npm/yocto-queue@0.1.0,MIT
path-exists,4.0.0,library,pkg:npm/path-exists@4.0.0,MIT
glob-parent,6.0.2,library,pkg:npm/glob-parent@6.0.2,ISC
is-glob,4.0.3,library,pkg:npm/is-glob@4.0.3,MIT
is-extglob,2.1.1,library,pkg:npm/is-extglob@2.1.1,MIT
graphemer,1.4.0,library,pkg:npm/graphemer@1.4.0,MIT
imurmurhash,0.1.4,library,pkg:npm/imurmurhash@0.1.4,MIT
is-path-inside,3.0.3,library,pkg:npm/is-path-inside@3.0.3,MIT
json-stable-stringify-without-jsonify,1.0.1,library,pkg:npm/json-stable-stringify-without-jsonify@1.0.1,MIT
levn,0.4.1,library,pkg:npm/levn@0.4.1,MIT
prelude-ls,1.2.1,library,pkg:npm/prelude-ls@1.2.1,MIT
type-check,0.4.0,library,pkg:npm/type-check@0.4.0,MIT
lodash.merge,4.6.2,library,pkg:npm/lodash.merge@4.6.2,MIT
natural-compare,1.4.0,library,pkg:npm/natural-compare@1.4.0,MIT
optionator,0.9.4,library,pkg:npm/optionator@0.9.4,MIT
deep-is,0.1.4,library,pkg:npm/deep-is@0.1.4,MIT
fast-levenshtein,2.0.6,library,pkg:npm/fast-levenshtein@2.0.6,MIT
word-wrap,1.2.5,library,pkg:npm/word-wrap@1.2.5,MIT
strip-ansi,6.0.1,library,pkg:npm/strip-ansi@6.0.1,MIT
ansi-regex,5.0.1,library,pkg:npm/ansi-regex@5.0.1,MIT
text-table,0.2.0,library,pkg:npm/text-table@0.2.0,MIT
@typescript-eslint/scope-manager,7.18.0,library,pkg:npm/%40typescript-eslint/scope-manager@7.18.0,MIT
@typescript-eslint/types,7.18.0,library,pkg:npm/%40typescript-eslint/types@7.18.0,MIT
@typescript-eslint/visitor-keys,7.18.0,library,pkg:npm/%40typescript-eslint/visitor-keys@7.18.0,MIT
@typescript-eslint/typescript-estree,7.18.0,library,pkg:npm/%40typescript-eslint/typescript-estree@7.18.0,BSD-2-Clause
globby,11.1.0,library,pkg:npm/globby@11.1.0,MIT
array-union,2.1.0,library,pkg:npm/array-union@2.1.0,MIT
dir-glob,3.0.1,library,pkg:npm/dir-glob@3.0.1,MIT
path-type,4.0.0,library,pkg:npm/path-type@4.0.0,MIT
fast-glob,3.3.3,library,pkg:npm/fast-glob@3.3.3,MIT
glob-parent,5.1.2,library,pkg:npm/glob-parent@5.1.2,ISC
merge2,1.4.1,library,pkg:npm/merge2@1.4.1,MIT
micromatch,4.0.8,library,pkg:npm/micromatch@4.0.8,MIT
braces,3.0.3,library,pkg:npm/braces@3.0.3,MIT
fill-range,7.1.1,library,pkg:npm/fill-range@7.1.1,MIT
to-regex-range,5.0.1,library,pkg:npm/to-regex-range@5.0.1,MIT
is-number,7.0.0,library,pkg:npm/is-number@7.0.0,MIT
picomatch,2.3.1,library,pkg:npm/picomatch@2.3.1,MIT
slash,3.0.0,library,pkg:npm/slash@3.0.0,MIT
minimatch,9.0.5,library,pkg:npm/minimatch@9.0.5,ISC
brace-expansion,2.0.2,library,pkg:npm/brace-expansion@2.0.2,MIT
semver,7.7.3,library,pkg:npm/semver@7.7.3,ISC
ts-api-utils,1.4.3,library,pkg:npm/ts-api-utils@1.4.3,MIT
typescript,5.9.3,library,pkg:npm/typescript@5.9.3,Apache-2.0
@typescript-eslint/type-utils,7.18.0,library,pkg:npm/%40typescript-eslint/type-utils@7.18.0,MIT
@typescript-eslint/utils,7.18.0,library,pkg:npm/%40typescript-eslint/utils@7.18.0,MIT
@vitest/coverage-v8,1.6.1,library,pkg:npm/%40vitest/coverage-v8@1.6.1,MIT
vitest,1.6.1,framework,pkg:npm/vitest@1.6.1,MIT
@vitest/expect,1.6.1,library,pkg:npm/%40vitest/expect@1.6.1,MIT
@vitest/spy,1.6.1,library,pkg:npm/%40vitest/spy@1.6.1,MIT
tinyspy,2.2.1,library,pkg:npm/tinyspy@2.2.1,MIT
@vitest/utils,1.6.1,library,pkg:npm/%40vitest/utils@1.6.1,MIT
diff-sequences,29.6.3,library,pkg:npm/diff-sequences@29.6.3,MIT
estree-walker,3.0.3,library,pkg:npm/estree-walker@3.0.3,MIT
@types/estree,1.0.8,library,pkg:npm/%40types/estree@1.0.8,MIT
loupe,2.3.7,library,pkg:npm/loupe@2.3.7,MIT
get-func-name,2.0.2,library,pkg:npm/get-func-name@2.0.2,MIT
pretty-format,29.7.0,library,pkg:npm/pretty-format@29.7.0,MIT
@jest/schemas,29.6.3,library,pkg:npm/%40jest/schemas@29.6.3,MIT
@sinclair/typebox,0.27.8,library,pkg:npm/%40sinclair/typebox@0.27.8,MIT
ansi-styles,5.2.0,library,pkg:npm/ansi-styles@5.2.0,MIT
react-is,18.3.1,framework,pkg:npm/react-is@18.3.1,MIT
chai,4.5.0,framework,pkg:npm/chai@4.5.0,MIT
assertion-error,1.1.0,framework,pkg:npm/assertion-error@1.1.0,MIT
check-error,1.0.3,library,pkg:npm/check-error@1.0.3,MIT
deep-eql,4.1.4,library,pkg:npm/deep-eql@4.1.4,MIT
type-detect,4.1.0,library,pkg:npm/type-detect@4.1.0,MIT
pathval,1.1.1,library,pkg:npm/pathval@1.1.1,MIT
@vitest/runner,1.6.1,library,pkg:npm/%40vitest/runner@1.6.1,MIT
p-limit,5.0.0,library,pkg:npm/p-limit@5.0.0,MIT
yocto-queue,1.2.2,library,pkg:npm/yocto-queue@1.2.2,MIT
pathe,1.1.2,library,pkg:npm/pathe@1.1.2,MIT
@vitest/snapshot,1.6.1,library,pkg:npm/%40vitest/snapshot@1.6.1,MIT
magic-string,0.30.21,library,pkg:npm/magic-string@0.30.21,MIT
